; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:54:36 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0,1,0,0
0.01113958,1,1,0
0.01113976,1,0,0
0.01113988,1,1,0
0.01114022,1,0,0
0.0111403,1,1,0
0.0111404,1,0,0
0.01114056,1,1,0
0.01114068,1,0,0
0.01114076,1,1,0
0.01114084,1,0,0
0.0111409,1,1,0
0.01114106,1,0,0
0.01114116,1,1,0
0.01114124,1,0,0
0.01114132,1,1,0
0.01114142,1,0,0
0.01114154,1,1,0
0.01114166,1,0,0
0.01114172,1,1,0
0.01114188,1,0,0
0.01114204,1,1,0
0.01114222,1,0,0
0.0111423,1,1,0
0.01114234,0,1,0
0.0111424,0,0,0
0.01114254,0,1,0
0.01114264,0,0,0
0.01114272,0,1,0
0.01114288,0,0,0
0.01114296,0,1,0
0.01114306,0,0,0
0.01114318,0,1,0
0.01114336,0,0,0
0.01114352,0,1,0
0.0111437,0,0,0
0.0111438,0,1,0
0.01114388,0,0,0
0.01114402,0,1,0
0.0111442,0,0,0
0.0111443,0,1,0
0.01114438,0,0,0
0.01114452,0,1,0
0.0111447,0,0,0
0.01114486,0,1,0
0.01114496,0,0,0
0.01114504,0,1,0
0.0111452,0,0,0
0.0111453,0,1,0
0.01114538,0,0,0
0.01114546,0,1,0
0.01114554,0,0,0
0.01114562,0,1,0
0.0111457,0,0,0
0.0111458,0,1,0
0.01114588,0,0,0
0.01114604,0,1,0
0.01114612,0,0,0
0.0111462,0,1,0
0.0111463,0,0,0
0.01114638,0,1,0
0.01114654,0,0,0
0.0111467,0,1,0
0.01114686,0,0,0
0.01114704,0,1,0
0.0111472,0,0,0
0.0111473,0,1,0
0.01114738,0,0,0
0.01114746,0,1,0
0.01114754,0,0,0
0.0111477,0,1,0
0.01114786,0,0,0
0.01114796,0,1,0
0.01114804,0,0,0
0.0111482,0,1,0
0.0111483,0,0,0
0.01114838,0,1,0
0.01114846,0,0,0
0.01114854,0,1,0
0.01114862,0,0,0
0.0111487,0,1,0
0.0111488,0,0,0
0.01114888,0,1,0
0.01114904,0,0,0
0.0111492,0,1,0
0.01114936,0,0,0
0.01114954,0,1,0
0.01114962,0,0,0
0.0111497,0,1,0
0.0111498,0,0,0
0.01114988,0,1,0
0.01115004,0,0,0
0.01115012,0,1,0
0.0111502,0,0,0
0.01115036,0,1,0
0.01115046,0,0,0
0.01115054,0,1,0
0.01115062,0,0,0
0.0111507,0,1,0
0.01115086,0,0,0
0.01115104,0,1,0
0.01115112,0,0,0
0.0111512,0,1,0
0.01115136,0,0,0
0.01115154,0,1,0
0.0111517,0,0,0
0.0111518,0,1,0
0.01115188,0,0,0
0.01115196,0,1,0
0.01115204,0,0,0
0.01115218,0,1,0
0.0111523,0,0,0
0.01115238,0,1,0
0.01115246,0,0,0
0.01115254,0,1,0
0.01115268,0,0,0
0.01115286,0,1,0
0.01115296,0,0,0
0.01115304,0,1,0
0.0111532,0,0,0
0.01115334,0,1,0
0.01115354,0,0,0
0.01115362,0,1,0
0.01115372,0,0,0
0.0111538,0,1,0
0.0111539,0,0,0
0.01115404,0,1,0
0.01115422,0,0,0
0.0111543,0,1,0
0.0111544,0,0,0
0.01115448,0,1,0
0.01115458,0,0,0
0.0111547,0,1,0
0.01115484,0,0,0
0.0111549,0,1,0
0.01115506,0,0,0
0.01115522,0,1,0
0.01115534,0,0,0
0.01115542,0,1,0
0.01115552,0,0,0
0.01115558,0,1,0
0.01115574,0,0,0
0.01115592,0,1,0
0.01115606,0,0,0
0.01115618,0,1,0
0.01115626,0,0,0
0.01115634,0,1,0
0.01115646,0,0,0
0.0111565,0,1,0
0.01115676,0,0,0
0.01115708,0,1,0
0.01115712,1,1,0
0.0111576,1,0,0
0.01115774,1,1,0
0.01115806,1,0,0
0.01115864,1,1,0
0.01115876,1,0,0
0.01115888,1,1,0
0.01115924,1,0,0
0.01116026,1,1,0
0.01116044,1,0,0
0.01116126,1,1,0
0.01116192,1,0,0
0.01116274,1,1,0
0.01116318,1,0,0
0.0111639,1,1,0
0.01116474,1,0,0
0.01116492,1,1,0
0.0111651,1,0,0
0.01116642,1,1,0
0.0111666,1,0,0
0.01116708,1,1,0
0.01116742,1,0,0
0.0111675,1,1,0
0.01116784,1,0,0
0.0111685,1,1,0
0.0111696,1,0,0
0.01117012,1,1,0
0.01117058,1,0,0
0.01117076,1,1,0
0.011171,1,0,0
0.01117156,1,1,0
0.01117176,1,0,0
0.01117188,1,1,0
0.01117224,1,0,0
0.01117258,1,1,0
0.01117326,1,0,0
0.0111734,1,1,0
0.01117358,1,0,0
0.01117374,1,1,0
0.01117392,1,0,0
0.0111744,1,1,0
0.0111746,1,0,0
0.01117472,1,1,0
0.01117492,1,0,0
0.0111756,1,1,0
0.01117598,1,0,0
0.01117606,1,1,0
0.01117626,1,0,0
0.01117698,1,1,0
0.01117774,1,0,0
0.01117842,1,1,0
0.01117926,1,0,0
0.01117978,1,1,0
0.01117998,1,0,0
0.01118008,1,1,0
0.01118042,1,0,0
0.01118292,1,1,0
0.0111836,1,0,0
0.0111843,1,1,0
0.0111854,1,0,0
0.01709924,1,1,0
0.01709982,1,0,0
0.01710024,1,1,0
