; CSV, generated by libsigrok4DSL 0.2.0 on Tue Aug 18 11:58:04 2020
; Channels (2/2)
; Sample rate: 100 MHz
; Sample count: 953.707584 M Samples
Time(s), E, D
0,1,0
0,0041189,1,1
0,00411921,1,0
0,00411952,1,1
0,00411972,1,0
0,00411982,1,1
0,00412003,1,0
0,00412037,1,1
0,00412053,1,0
0,00412061,1,1
0,00412071,1,0
0,00412076,1,1
0,00412087,1,0
0,00412094,1,1
0,00412103,1,0
0,00412117,1,1
0,00412133,1,0
0,00412143,1,1
0,00412152,1,0
0,00412158,1,1
0,00412169,1,0
0,00412175,1,1
0,00412185,1,0
0,00412192,1,1
0,00412201,1,0
0,00412209,1,1
0,00412218,1,0
0,00412231,1,1
0,00412234,0,1
0,00412243,0,0
0,0041225,0,1
0,00412265,0,0
0,0041228,0,1
0,00412292,0,0
0,00412299,0,1
0,00412315,0,0
0,00412329,0,1
0,00412348,0,0
0,00412357,0,1
0,00412366,0,0
0,00412373,0,1
0,00412382,0,0
0,0041239,0,1
0,00412399,0,0
0,00412407,0,1
0,00412415,0,0
0,00412423,0,1
0,00412432,0,0
0,0041244,0,1
0,00412449,0,0
0,00412457,0,1
0,00412465,0,0
0,00412473,0,1
0,00412482,0,0
0,00412497,0,1
0,00412507,0,0
0,00412515,0,1
0,0041253,0,0
0,00412547,0,1
0,00412557,0,0
0,00412565,0,1
0,00412581,0,0
0,00412598,0,1
0,00412614,0,0
0,00412631,0,1
0,00412647,0,0
0,00412657,0,1
0,00412665,0,0
0,00412673,0,1
0,00412682,0,0
0,00412697,0,1
0,00412707,0,0
0,00412715,0,1
0,00412723,0,0
0,00412732,0,1
0,0041274,0,0
0,00412748,0,1
0,00412764,0,0
0,00412781,0,1
0,00412798,0,0
0,00412814,0,1
0,00412823,0,0
0,00412831,0,1
0,00412847,0,0
0,00412857,0,1
0,00412865,0,0
0,00412873,0,1
0,00412882,0,0
0,00412897,0,1
0,00412914,0,0
0,00412923,0,1
0,00412932,0,0
0,00412947,0,1
0,00412965,0,0
0,00412981,0,1
0,00412997,0,0
0,00413014,0,1
0,00413023,0,0
0,00413031,0,1
0,0041304,0,0
0,00413048,0,1
0,00413057,0,0
0,00413065,0,1
