; CSV, generated by libsigrok4DSL 0.2.0 on Tue Aug 18 11:58:04 2020
; Channels (2/2)
; Sample rate: 100 MHz
; Sample count: 953.707584 M Samples
Time(s), E, D
0,1,0
0,0041189,1,1
0,00411921,1,0
0,00411952,1,1
0,00411972,1,0
0,00411982,1,1
0,00412003,1,0
0,00412037,1,1
0,00412053,1,0
0,00412061,1,1
0,00412071,1,0
0,00412076,1,1
0,00412087,1,0
0,00412094,1,1
0,00412103,1,0
0,00412117,1,1
0,00412133,1,0
0,00412143,1,1
0,00412152,1,0
0,00412158,1,1
0,00412169,1,0
0,00412175,1,1
0,00412185,1,0
0,00412192,1,1
0,00412201,1,0
0,00412209,1,1
0,00412218,1,0
0,00412231,1,1
0,00412234,0,1
0,00412243,0,0
0,0041225,0,1
0,00412265,0,0
0,0041228,0,1
0,00412292,0,0
0,00412299,0,1
0,00412315,0,0
0,00412329,0,1
0,00412348,0,0
0,00412357,0,1
0,00412366,0,0
