[119384, 97796, 130923, 81767, 113134, 104657, 96455, 100949, 87927, 121105, 87913, 104735, 76752, 118643, 79453, 104437, 103584, 111225, 80436, 110145, 98516, 96401, 77412, 97394, 105581, 81714, 110100, 85622, 81047, 78027, 79696, 117645]
Waiting for sync ...
Found sync!
history size: (32, 25)




dphi[7]: 161.46975 | div: 430586

dphi[5]: 185.95125 | div: 495870







dphi[3]: 185.952 | div: 495872

dphi[1]: 185.952 | div: 495872

dphi[3]: 70.62225 | div: 188326

dphi[1]: 63.951 | div: 170536


dphi[2]: 84.57075 | div: 225522



dphi[7]: 185.999625 | div: 495999

dphi[5]: 185.947875 | div: 495861



dphi[7]: 121.342875 | div: 323581

dphi[5]: 121.335375 | div: 323561







dphi[0]: 192.181125 | div: 512483

dphi[2]: 185.961 | div: 495896







dphi[0]: 64.077 | div: 170872

dphi[2]: 69.975 | div: 186600

dphi[0]: 97.2975 | div: 259460

dphi[2]: 97.578 | div: 260208

dphi[3]: 282.820875 | div: 754189

dphi[1]: 283.248375 | div: 755329

dphi[0]: 186.00525 | div: 496014

dphi[2]: 185.859 | div: 495624

dphi[3]: 256.5225 | div: 684060

dphi[1]: 256.176 | div: 683136



dphi[3]: 185.950875 | div: 495869

dphi[1]: 185.95125 | div: 495870





dphi[3]: 256.617375 | div: 684313

dphi[1]: 256.17825 | div: 683142


dphi[7]: 192.09900000000002 | div: 512264



dphi[3]: 70.469625 | div: 187919

dphi[1]: 64.08075 | div: 170882





dphi[1]: 192.0975 | div: 512260

dphi[0]: 64.06762499999999 | div: 170847

dphi[6]: 256.279875 | div: 683413

dphi[7]: 256.647 | div: 684392


dphi[1]: 283.2525 | div: 755340

dphi[0]: 353.43375000000003 | div: 942490








dphi[7]: 64.517625 | div: 172047

dphi[5]: 70.797375 | div: 188793

dphi[7]: 96.760875 | div: 258029

dphi[5]: 96.78450000000001 | div: 258092

dphi[7]: 64.528875 | div: 172077

dphi[5]: 64.5975 | div: 172260


dphi[1]: 283.252125 | div: 755339

dphi[7]: 121.49175 | div: 323978

dphi[5]: 121.298625 | div: 323463


dphi[7]: 185.894625 | div: 495719

dphi[7]: 70.660875 | div: 188429

dphi[5]: 256.750875 | div: 684669

dphi[7]: 282.856125 | div: 754283

dphi[5]: 282.729375 | div: 753945





dphi[7]: 70.655625 | div: 188415




dphi[3]: 185.98687499999997 | div: 495965

dphi[1]: 185.950875 | div: 495869

dphi[3]: 96.828 | div: 258208

dphi[1]: 97.329375 | div: 259545

dphi[7]: 347.28187499999996 | div: 926085

dphi[5]: 347.33625 | div: 926230

dphi[3]: 256.567125 | div: 684179

dphi[1]: 256.13625 | div: 683030





dphi[7]: 161.33475 | div: 430226

dphi[5]: 161.379375 | div: 430345

dphi[3]: 186.037125 | div: 496099

dphi[1]: 185.95125 | div: 495870


dphi[5]: 371.93175 | div: 991818



dphi[7]: 70.647 | div: 188392

dphi[5]: 70.743375 | div: 188649


dphi[7]: 121.427625 | div: 323807

dphi[7]: 64.5255 | div: 172068

dphi[5]: 185.954625 | div: 495879


dphi[7]: 353.477625 | div: 942607





dphi[0]: 11862.118124999999 | div: 31632315

dphi[2]: 11859.3915 | div: 31625044





dphi[6]: 64.29825 | div: 171462

dphi[7]: 64.649625 | div: 172399

